,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,AbuUday1993,رضـا الناس غايه لاتدرك والتواضع خلق عظيم يجهله كل متكبر .الاتحاد وطن سكنت به انا واحرفي .مفظلتي تدعـوكك.@ittihad عضو شرفي بنادي الاتحاد,"رابغ, المملكة العربية السعودية",2019,8695,10031,114,🔢 فئات عضوية مؤسسة #الاتحاد غير الربحية وآلية احتساب الأصوات 📊 https://t.co/DhnsUg27kn,['الاتحاد']
1,alarfgha,instagram/alarfgha,جده غير,2520,1997,18689,114,🔢 فئات عضوية مؤسسة #الاتحاد غير الربحية وآلية احتساب الأصوات 📊 https://t.co/DhnsUg27kn,['الاتحاد']
2,alamoudi_909,,,1024,218,56767,114,🔢 فئات عضوية مؤسسة #الاتحاد غير الربحية وآلية احتساب الأصوات 📊 https://t.co/DhnsUg27kn,['الاتحاد']
3,alamoudi_909,,,1024,218,56767,170,📑 شروط الحصول على عضوية مؤسسة #الاتحاد غير الربحية https://t.co/a0iwef2Y8P,['الاتحاد']
4,iAbrar_9,,,508,2805,41086,170,📑 شروط الحصول على عضوية مؤسسة #الاتحاد غير الربحية https://t.co/a0iwef2Y8P,['الاتحاد']
5,AAlshmi,أستغفـــــــر الله العظيـــــــم الذي لا اله الا هو الحي القيـــــــوم و أتـــوب اليــــه,,3332,2230,22720,73,"⏳انتظرونا غدًا
🕔الساعة الـ8 

📺 تغطية خاصة لحفل تقديم النجم الفرنسي كريم بنزيما لاعب نادي #الاتحاد الجديد في ملعب الجوهرة🏟 

#SSC https://t.co/e5JLvuQ30Y",['الاتحاد']
6,Roroyc00l,,Jeddah,283,112,45312,170,📑 شروط الحصول على عضوية مؤسسة #الاتحاد غير الربحية https://t.co/a0iwef2Y8P,['الاتحاد']
7,Roroyc00l,,Jeddah,283,112,45312,115,🔢 فئات عضوية مؤسسة #الاتحاد غير الربحية وآلية احتساب الأصوات 📊 https://t.co/DhnsUg27kn,['الاتحاد']
8,K_alzel3y,جنہ الرحمن ي عساهآ داري ودآركم ~#روح_الاتحاد 💛,مو شغلك !!,212,364,16973,170,📑 شروط الحصول على عضوية مؤسسة #الاتحاد غير الربحية https://t.co/a0iwef2Y8P,['الاتحاد']
9,itti4ever_77,jeddah/U.G.T 💛🖤,"جدة, المملكة العربية السعودية",760,811,49014,218,🟡 سيتم فتح باب الانتخابات لـ نادي #الاتحاد الأحد المقبل وسيستمر استقبال المرشحين لـ ادارة النادي لمدة ثلاث أيام .. وسيتم انتخاب شخصين ليكونوا في إدارة الاتحاد الجديدة مع خمسة من صندوق الاستثمار,['الاتحاد']
10,Dr_Onlyme,سعودي وبوطني افتخر 🇸🇦 الاتحاد سبب من اسباب السعاده 😎 MBS For live 🇸🇦 متابعتي خطأ يجب أن لا ترتكبه (ألبس نظارة 😎) ☠️,عالمي استثنائي مونديالي 😁🇸🇦,1550,1267,34933,73,"⏳انتظرونا غدًا
🕔الساعة الـ8 

📺 تغطية خاصة لحفل تقديم النجم الفرنسي كريم بنزيما لاعب نادي #الاتحاد الجديد في ملعب الجوهرة🏟 

#SSC https://t.co/e5JLvuQ30Y",['الاتحاد']
11,HAT73211712,,,399,22,3577,2362,"بمناسبة قدوم نغولو كانتي نقدم لكم سحب على قميصه مع #الاتحاد 💛

الشروط :
- متابعة @ittimania
- رتويت للتغريدة

• السحب بعد 48 ساعة موثق بالفيديو
• بالتوفيق للجميع. 🙏🏼💛

#KantéIsYellow https://t.co/KtrzXeuDaH",['الاتحاد']
12,5lood5857452076,,,1,7,16064,482,@ittihad @Benzema مبروووك لجماهير #الاتحاد ونتمنى له التوفيق مع كتيبة النمور 🐅🖤💛,['الاتحاد']
13,abyzin22,معلم ✏️، #مركاز_الاتحاد، تيك توك https://t.co/BSawknTuyQ,,393,30323,61625,24,"أفضل محور في العالم 
أي مدرب يتمناه 
خليفة كلود ماكيليلي 
ليس مجرد محور دفاعي
والله اني في حلممممم 
كانتي اتحححححادي يابششششر 😰😍
#كانتي_اتحادي
#الاتحاد
  https://t.co/qYFRRfx1u3",[]
14,hemoo_d1,,,4570,2057,27706,116,🔢 فئات عضوية مؤسسة #الاتحاد غير الربحية وآلية احتساب الأصوات 📊 https://t.co/DhnsUg27kn,['الاتحاد']
15,20foursport,موقع إخباري عربي شامل ينطلق من دولة الإمارات العربية المتحدة يزودكم بأخبار الرياضة الدولية والعربية والمحلية ويغطي كافة البطولات والأحداث العالمية,Abu Dhabi,2,170903,220733,0,"#الاتحاد يقدم #بنزيما في ""الجوهرة المشعة""
#24Sport 

 https://t.co/ithN4ye4Ie","['الاتحاد', 'بنزيما', '24Sport']"
16,JustFs0,@IgorCoronado_10 | @ittihad | @realmadrid,,815,1241,32939,116,🔢 فئات عضوية مؤسسة #الاتحاد غير الربحية وآلية احتساب الأصوات 📊 https://t.co/DhnsUg27kn,['الاتحاد']
